Lines added,Lines removed,File name,Repository name
102,0,stk-code-master/lib/irrlicht/source/Irrlicht/SConstruct,paf-autostereoscopie-2014
252,0,3rd/jsoncpp/SConstruct,phantom
266,0,3rd/websocketpp/SConstruct,phantom
197,0,pjproject-2.4.5/third_party/portaudio/SConstruct,pjsip
175,0,SConstruct,pluma-3
197,0,SConstruct,PortAudio
197,0,SConstruct,PortAudio_trunk
4,0,cpp_project/compile-skills/scons-demo/SConstruct,project
1,0,cpp_project/compile-skills/combine_compile/SConstruct,project
0,0,cpp_project/easylog/SConstruct,project
1,0,cpp_project/basic-skills/parent/SConstruct,project
774,0,gmtl-0.6.1/SConstruct,projectAnywhere
90,4,ebwt/SConstruct,Proseminar
171,0,src/3rdparty/libtiff/SConstruct,qt
73,0,src/3rdparty/libtiff/libtiff/SConstruct,qt
46,0,node_modules/react-native/third-party/double-conversion-1.1.5/SConstruct,RDC_Mobile
46,0,node_modules/react-native/third-party/double-conversion-1.1.5/SConstruct,react-fb-firebase-login
164,1,prototip/temp/pygame/symbian/SConstruct,rover-rev-controller
155,0,functions/node_modules/firebase-admin/node_modules/grpc/third_party/nanopb/tests/SConstruct,royalPWA
67,0,SConstruct,rpi_ws281x
21,8,SConstruct,runrunrun
158,66,SConstruct,s3g
169,0,third_party/codecs/tiff/SConstruct,sagetv
71,0,third_party/codecs/tiff/libtiff/SConstruct,sagetv
171,0,external/tiff-4.0.8/SConstruct,SDL2_image
73,0,external/tiff-4.0.8/libtiff/SConstruct,SDL2_image
128,17,SConstruct,sdl-tests
21,1,SConstruct,secretx
117,0,src/SConstruct,SeniorThesis
556,0,SConstruct,shallow-water-equations
613,563,SConstruct,slices
63,31,src/SConstruct,slices
56,28,src/lib/SConstruct,slices
356,0,lighttpd-1.4.41/SConstruct,StreamControl
23,1,SConstruct,Thesis
10,5,c/SConstruct,towel-db
22,0,SConstruct,TPTNuclear
4,0,SConstruct,ts_dimm
155,0,node_modules/grpc/deps/grpc/third_party/nanopb/tests/SConstruct,tweetval_react
46,0,Twitter/third-party/double-conversion-1.1.5/SConstruct,TwitterSample
758,4,SConstruct,unsis
1205,103,SConstruct,v8
1568,0,v8-read-only/SConstruct,v8DOM.NET
42,0,v8-read-only/tools/oom_dump/SConstruct,v8DOM.NET
266,86,source/SConstruct,Variant
25,0,VIKI_Proto_pde/code/voce/samples/recognitionTest/c++/SConstruct,VIKI_Proto
34,0,VIKI_Proto_pde/code/voce/samples/playpen/playpen/SConstruct,VIKI_Proto
25,0,VIKI_Proto_pde/code/voce/samples/synthesisTest/c++/SConstruct,VIKI_Proto
71,0,bigtiff/tiff-4.0/libtiff/SConstruct,weaver
636,260,SConstruct,websocketpp
2713,1920,SConstruct,woo
155,0,node_modules/grpc/deps/grpc/third_party/nanopb/tests/SConstruct,Word-API
40,0,SConstruct,worldsim-prototype
63,17,SConstruct,XmlConfig
